root_arabic	form_tag	form_tag_available	instance_count	legacy_instance_count	referent_total	resolution_coverage	dominant_referent	dominant_ratio	agency	referent_entropy	referent_dist	source	batch_count	low_occurrence
ل ق ي	ADV	True	1	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	1	True
ل ق ي	CV:I	True	1	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	1	True
ل ق ي	CV:IV	True	15	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	9	False
ل ق ي	GERUND	True	26	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	14	False
ل ق ي	IV:I	True	7	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	6	False
ل ق ي	IV:II	True	2	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	2	True
ل ق ي	IV:III	True	2	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	2	True
ل ق ي	IV:IV	True	15	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	12	False
ل ق ي	IV:V	True	2	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	2	True
ل ق ي	IV:VIII	True	1	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	1	True
