qac_root_norm	qac_total_occurrences	matched_occurrences	mapping_status	dominant_frozen_root_norm	dominant_furuq_root_id	dominant_furuq_root_norm	dominant_furuq_source_root_norm	dominant_resolution	dominant_occurrences	targets	status_counts	sample_refs	sample_surfaces
ص ف ف	14	11	unique	ص ف ف	root_000871	ص ف ف	ص ف ف	source_root_norm	11	ص ف ف=>root_000871=>ص ف ف=>ص ف ف=>source_root_norm:11	same_word_same_root:11	18:48:5|20:64:6|22:36:16|24:41:14|37:1:3|52:20:4|61:4:8|78:38:6	صَفًّۭا|صَوَآفَّ|صَٰٓفَّٰتٍۢ|صَفًّۭا|مَصْفُوفَةٍ|صَفًّا|مَصْفُوفَةٌۭ
ص ف ن	1	0	no_frozen_rooted_surface_match						0				
ص ف و	17	11	unique	ص ف و	root_000873	ص ف و	ص ف و	source_root_norm	11	ص ف و=>root_000873=>ص ف و=>ص ف و=>source_root_norm:11	same_word_same_root:11	2:130:14|2:132:12|2:264:30|3:33:3|7:144:5|22:75:2|27:59:10|35:32:5	ٱصْطَفَيْنَٰهُ|ٱصْطَفَىٰ|صَفْوَانٍ|ٱصْطَفَىٰٓ|ٱصْطَفَيْتُكَ|يَصْطَفِى|ٱصْطَفَيْنَا|أَصْطَفَى
ص ك ك	1	1	unique	ص ك ك	root_000874	ص ك ك	ص ك ك	source_root_norm	1	ص ك ك=>root_000874=>ص ك ك=>ص ك ك=>source_root_norm:1	same_word_same_root:1	51:29:7	صَكَّتْ
ص ل ب	8	3	unique	ص ل ب	root_000875	ص ل ب	ص ل ب	source_root_norm	3	ص ل ب=>root_000875=>ص ل ب=>ص ل ب=>source_root_norm:3	same_word_same_root:3	4:157:16|12:41:14|86:7:4	صَلَبُوهُ|يُصْلَبُ|ٱلصُّلْبِ
ص ل ح	180	70	unique	ص ل ح	root_000876	ص ل ح	ص ل ح	source_root_norm	70	ص ل ح=>root_000876=>ص ل ح=>ص ل ح=>source_root_norm:70	same_word_same_root:70	2:11:13|2:62:20|2:160:5|2:182:10|2:220:10|2:220:24|2:228:37|3:89:8	مُصْلِحُونَ|صَٰلِحًۭا|أَصْلَحُوا۟|أَصْلَحَ|إِصْلَاحٌ|ٱلْمُصْلِحِ|إِصْلَٰحًا|أَصْلَحَا
ص ل د	1	1	unique	ص ل د	root_000877	ص ل د	ص ل د	source_root_norm	1	ص ل د=>root_000877=>ص ل د=>ص ل د=>source_root_norm:1	same_word_same_root:1	2:264:38	صَلْدًۭا
ص ل ص ل	4	3	unique	ص ل ص ل	root_000878	ص ل ص ل	ص ل ص ل	source_root_norm	3	ص ل ص ل=>root_000878=>ص ل ص ل=>ص ل ص ل=>source_root_norm:3	same_word_same_root:3	15:26:7|15:33:10|55:14:4	صَلْصَٰلٍۢ
ص ل و	99	14	split	ص ل و	root_000879	ص ل و	ص ل و	source_root_norm	7	ص ل و=>root_000879=>ص ل و=>ص ل و=>source_root_norm:7|ص ل ي=>root_000880=>ص ل ي=>ص ل ي=>source_root_norm:7	same_word_root_diff:7|same_word_same_root:7	2:125:15|2:157:3|9:99:19|22:40:27|75:31:6|87:15:6|96:10:3|3:39:7	مُصَلًّى|صَلَوَٰتٌۭ|صَلَوَٰتِ|صَلَوَٰتٌ|صَلَّىٰ|صَلَّىٰٓ|يُصَلِّى|تُصَلِّ
ص ل ي	25	9	split	ص ل ي	root_000880	ص ل ي	ص ل ي	source_root_norm	6	ص ل ي=>root_000880=>ص ل ي=>ص ل ي=>source_root_norm:6|ص ل و=>root_000879=>ص ل و=>ص ل و=>source_root_norm:3	same_word_root_diff:3|same_word_same_root:6	19:70:10|37:163:4|38:59:10|56:94:2|69:31:3|83:16:4|84:12:2|87:12:2	صِلِيًّا|صَالِ|صَالُوا۟|تَصْلِيَةُ|صَلُّوهُ|يَصْلَىٰ|يَصْلَى|تَصْلَىٰ
